Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,22933,677,2.23 [1.84-2.71],7.054738877716434e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PILRA,Paired immunoglobulin-like type 2 receptor alpha,22933,677,1.67 [1.42-1.96],4.826553568447666e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PLA2G15,Phospholipase A2 group XV,22980,680,1.96 [1.55-2.47],1.7228119118176573e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PLAUR,Urokinase plasminogen activator surface receptor,22739,672,2.68 [2.16-3.32],5.451080525373087e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PLXNB2,Plexin-B2,23103,685,2.07 [1.60-2.67],2.9323594949943485e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PRSS8,Prostasin,22817,673,1.73 [1.48-2.01],4.9746498739794335e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PSAP,Prosaposin,19686,578,1.85 [1.49-2.30],2.527532357550756e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,PTGDS,Prostaglandin-H2 D-isomerase,22779,672,1.96 [1.62-2.36],2.2878352359044524e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RARRES2,Retinoic acid receptor responder protein 2,23075,686,1.42 [1.26-1.60],5.655345151296409e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RBFOX3,RNA binding protein fox-1 homolog 3,19822,578,1.57 [1.34-1.83],1.7420642226977995e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,REG1A,Lithostathine-1-alpha,22813,680,1.55 [1.39-1.74],4.457801325894977e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,REG1B,Lithostathine-1-beta,23217,688,1.39 [1.25-1.53],4.381002672759488e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,REG3A,Regenerating islet-derived protein 3-alpha,23217,688,1.33 [1.21-1.47],4.654723642546222e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,REG4,Regenerating islet-derived protein 4,22926,677,1.50 [1.32-1.70],2.727143921534393e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RELT,Tumor necrosis factor receptor superfamily member 19L,22933,677,2.17 [1.79-2.63],5.1704157788870104e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,REN,Renin,22927,681,1.25 [1.16-1.35],2.3021712056978038e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNASE1,Ribonuclease pancreatic,19885,575,2.23 [1.73-2.89],8.229869662344882e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNASE6,Ribonuclease K6,19754,572,1.70 [1.46-1.98],1.2170852008614256e-11
