Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDH2,Cadherin-2,39627,1078,1.41 [1.21-1.64],6.690919695125976e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDH6,Cadherin-6,39627,1078,1.35 [1.17-1.55],2.6574286456937133e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CDSN,Corneodesmosin,39957,1076,1.18 [1.04-1.33],0.0092862657438228
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,39702,1069,1.47 [1.16-1.87],0.0014058185496765
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,34401,923,0.89 [0.82-0.96],0.0037746230809857
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM18,Carcinoembryonic antigen-related cell adhesion molecule 18,33926,913,1.13 [1.05-1.23],0.0017306250208227
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3,38741,1047,1.19 [1.07-1.31],0.0011878275548957
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,38243,1034,1.19 [1.09-1.29],4.71660409531744e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,34549,921,1.35 [1.18-1.55],1.1951795110313882e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CFC1,Cryptic protein,38741,1047,1.25 [1.12-1.39],5.11745552480544e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CFD,Complement factor D,34585,925,1.49 [1.12-1.98],0.0055523228752537
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CGA,Glycoprotein hormones alpha chain,39670,1074,1.11 [1.03-1.20],0.0083065915709471
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CGN,Cingulin,33604,909,1.22 [1.06-1.41],0.0048697279322195
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CGREF1,Cell growth regulator with EF hand domain protein 1,39627,1078,1.28 [1.13-1.45],0.0001116464635522
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHAD,Chondroadherin,33792,903,0.81 [0.72-0.92],0.0010414139187401
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",34471,921,1.67 [1.46-1.92],1.5593132872642632e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHCHD6,MICOS complex subunit MIC25,34385,917,1.53 [1.27-1.84],6.5735063445102696e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHGA,Chromogranin-A,34549,921,1.54 [1.46-1.64],4.961186347790434e-49
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHGB,Secretogranin-1,39872,1074,1.24 [1.09-1.41],0.001004194891252
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHI3L1,Chitinase-3-like protein 1,38782,1053,1.27 [1.19-1.35],9.628625273769992e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CHRDL1,Chordin-like protein 1,39740,1071,1.52 [1.28-1.80],1.2047923259878593e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CKAP4,Cytoskeleton-associated protein 4,39880,1078,1.92 [1.63-2.26],5.079759255197476e-15
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CKB,Creatine kinase B-type,34549,921,1.40 [1.26-1.55],2.1652276563608887e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CKMT1A_CKMT1B,"Creatine kinase U-type, mitochondrial",39485,1067,1.12 [1.03-1.22],0.0067734277818631
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC12A,C-type lectin domain family 12 member A,33563,896,1.59 [1.18-2.15],0.0021020691098311
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC14A,C-type lectin domain family 14 member A,39670,1074,1.49 [1.26-1.76],2.9160766621450465e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC1A,C-type lectin domain family 1 member A,38955,1057,1.41 [1.20-1.66],2.200306485935212e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC3B,Tetranectin,33773,896,0.46 [0.34-0.63],5.882238513490895e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC4D,C-type lectin domain family 4 member D,39578,1069,1.12 [1.03-1.22],0.0073182794831351
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC6A,C-type lectin domain family 6 member A,38741,1047,1.31 [1.17-1.46],3.3896050152682107e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLEC7A,C-type lectin domain family 7 member A,40081,1081,1.17 [1.05-1.29],0.0028047469672381
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLGN,Calmegin,33604,909,1.33 [1.17-1.50],7.204005993627446e-06
