Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SPP1,Osteopontin,39538,551,1.48 [1.27-1.74],7.990023484226597e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",39602,551,1.48 [1.17-1.87],0.0012148083122916
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,STAB2,Stabilin-2,34094,466,1.58 [1.16-2.15],0.0036602470760098
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SUOX,"Sulfite oxidase, mitochondrial",34042,468,1.27 [1.11-1.45],0.0003642342325451
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SUSD1,Sushi domain-containing protein 1,38432,534,0.79 [0.68-0.93],0.0034988316999828
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,SYT1,Synaptotagmin-1,34021,471,1.37 [1.15-1.62],0.0003493826671104
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TAFA5,Chemokine-like protein TAFA-5,38986,546,1.70 [1.41-2.06],4.5969464613375867e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TCN1,Transcobalamin-1,33440,462,1.43 [1.13-1.80],0.0024821493534439
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TCN2,Transcobalamin-2,39538,551,1.52 [1.21-1.90],0.0003403252860704
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TCOF1,Treacle protein,34095,462,1.55 [1.24-1.94],0.0001131575255609
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TFF1,Trefoil factor 1,38940,537,1.17 [1.07-1.27],0.0006226374088614
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TFF2,Trefoil factor 2,39216,547,1.61 [1.43-1.80],4.866132293019308e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TFF3,Trefoil factor 3,39095,538,1.45 [1.27-1.66],5.628486938351841e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TFRC,Transferrin receptor protein 1,39284,545,1.64 [1.36-1.98],1.9762565861034706e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TGFA,Protransforming growth factor alpha,39058,549,1.44 [1.24-1.67],1.096991281988751e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TGFBR2,TGF-beta receptor type-2,39240,545,1.93 [1.59-2.34],2.088695184938814e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TGOLN2,Trans-Golgi network integral membrane protein 2,34113,467,2.29 [1.68-3.12],1.6784050915058165e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,THBD,Thrombomodulin,39095,546,1.57 [1.22-2.02],0.0003906795791163
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,THBS2,Thrombospondin-2,39137,541,1.30 [1.08-1.57],0.0061824084732107
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,THY1,Thy-1 membrane glycoprotein,39470,550,1.99 [1.55-2.55],5.957282939515405e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,33476,463,1.37 [1.12-1.68],0.0024430611232595
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,39275,546,1.31 [1.10-1.55],0.0018916135039939
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TIMP1,Metalloproteinase inhibitor 1,38700,535,1.72 [1.34-2.21],2.377438526362338e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNC,Tenascin,39275,546,1.43 [1.23-1.67],4.407321904099412e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNF,Tumor necrosis factor,38379,532,1.37 [1.16-1.62],0.000233918716827
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,38848,542,1.94 [1.61-2.34],6.176302496196299e-12
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,38848,542,1.39 [1.25-1.54],3.4577960827517673e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,39553,553,1.91 [1.61-2.26],1.5109778458095357e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,39089,547,1.57 [1.23-2.00],0.0003051569260793
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,39240,545,1.66 [1.36-2.02],3.971918988423023e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,39149,547,1.38 [1.15-1.66],0.0007060624133498
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,39149,547,2.00 [1.59-2.50],1.765876369872124e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,33352,463,1.36 [1.10-1.68],0.0039660230352924
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,39465,551,1.62 [1.32-2.00],5.412287610229126e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,39137,541,2.28 [1.84-2.83],6.818846250519846e-14
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,39137,541,1.76 [1.53-2.01],7.3845493454994e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,39470,550,1.96 [1.51-2.53],2.893060715563599e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,39485,553,2.01 [1.70-2.39],8.534761895055945e-16
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,38848,542,1.32 [1.17-1.49],1.0336871390433567e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,39470,550,1.38 [1.18-1.61],4.971901214571218e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,38848,542,1.59 [1.38-1.83],1.5718850126605146e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFSF12,Tumor necrosis factor ligand superfamily member 12,39553,553,0.70 [0.53-0.91],0.0077203598915557
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFSF13,Tumor necrosis factor ligand superfamily member 13,39278,548,1.93 [1.47-2.53],1.7207341456079403e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,39535,551,1.74 [1.37-2.21],5.646716313744981e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TNFSF8,Tumor necrosis factor ligand superfamily member 8,34094,466,1.62 [1.29-2.03],3.662544537314044e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TPP1,Tripeptidyl-peptidase 1,38830,546,1.34 [1.16-1.55],0.0001070788492588
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TREM2,Triggering receptor expressed on myeloid cells 2,39089,547,1.58 [1.38-1.81],2.5036720835515683e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TSHB,Thyrotropin subunit beta,39095,546,0.87 [0.79-0.97],0.0081153513486355
