Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD55,Complement decay-accelerating factor,35172,802,1.41 [1.11-1.78],0.0044794726148162
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD59,CD59 glycoprotein,35171,807,1.62 [1.24-2.11],0.0003332251560768
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD93,Complement component C1q receptor,35057,798,1.42 [1.16-1.74],0.000725657260049
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD99,CD99 antigen,36473,836,1.71 [1.26-2.34],0.0006865928697793
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CDCP1,CUB domain-containing protein 1,36214,828,1.18 [1.05-1.32],0.0055383718025963
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CDNF,Cerebral dopamine neurotrophic factor,36311,832,1.37 [1.15-1.63],0.000328318545794
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CDSN,Corneodesmosin,36769,844,1.22 [1.06-1.41],0.0057232562834365
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CELA2A,Chymotrypsin-like elastase family member 2A,31761,729,0.83 [0.73-0.93],0.0013216696096104
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CGA,Glycoprotein hormones alpha chain,36473,836,1.14 [1.05-1.24],0.0017187617388675
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CGREF1,Cell growth regulator with EF hand domain protein 1,36471,832,1.25 [1.08-1.44],0.0028868349556843
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CHGA,Chromogranin-A,31761,729,1.21 [1.12-1.30],1.064466482272478e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CHRDL2,Chordin-like protein 2,36471,832,0.83 [0.73-0.94],0.0023887056231559
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CKAP4,Cytoskeleton-associated protein 4,36688,838,1.43 [1.15-1.77],0.0010527871910666
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CLEC14A,C-type lectin domain family 14 member A,36473,836,1.46 [1.20-1.77],0.0001579372852446
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CLEC1A,C-type lectin domain family 1 member A,35806,817,1.29 [1.07-1.56],0.0077981920003408
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CNTN1,Contactin-1,36922,845,0.73 [0.58-0.91],0.0062919553315462
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CNTN2,Contactin-2,36805,841,0.79 [0.69-0.91],0.0012368700082448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COL18A1,Collagen alpha-1(XVIII) chain,36601,830,1.46 [1.11-1.90],0.0058663746042506
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COL24A1,Collagen alpha-1(XXIV) chain,31625,724,1.24 [1.09-1.42],0.0012684765397065
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COL6A3,Collagen alpha-3(VI) chain,36922,845,1.45 [1.22-1.72],2.463309619430624e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COL9A1,Collagen alpha-1(IX) chain,36450,836,2.18 [1.95-2.44],1.4223580609704937e-41
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COLEC12,Collectin-12,36451,832,1.45 [1.15-1.84],0.0019768504260402
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,COMP,Cartilage oligomeric matrix protein,36078,816,1.75 [1.46-2.11],3.203303097820349e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CRELD1,Protein disulfide isomerase CRELD1,31056,713,1.37 [1.12-1.66],0.0016892130400458
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CRH,Corticoliberin,35583,808,1.10 [1.03-1.19],0.0081769935798135
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CRLF1,Cytokine receptor-like factor 1,36634,834,0.66 [0.52-0.84],0.0007447086233218
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CRTAC1,Cartilage acidic protein 1,36922,845,2.35 [1.89-2.91],1.275280215199132e-14
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CXCL14,C-X-C motif chemokine 14,35824,825,1.15 [1.06-1.25],0.0014741602605971
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DCN,Decorin,35806,817,2.28 [1.74-2.98],1.9187896154754595e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DENND2B,DENN domain-containing protein 2B,30722,706,0.79 [0.66-0.94],0.0085353440585826
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DPP10,Inactive dipeptidyl peptidase 10,36450,836,0.68 [0.57-0.82],3.470703718140663e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DPP4,Dipeptidyl peptidase 4,35761,808,1.35 [1.09-1.68],0.0061422401779414
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DPP6,Dipeptidyl aminopeptidase-like protein 6,36311,832,0.74 [0.62-0.89],0.0016675849309474
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DTNB,Dystrobrevin beta,31547,724,1.23 [1.05-1.43],0.0096550905272602
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,DTX3,Probable E3 ubiquitin-protein ligase DTX3,36311,832,1.44 [1.13-1.84],0.0033533389806661
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,EDA2R,Tumor necrosis factor receptor superfamily member 27,36805,841,1.30 [1.11-1.53],0.0013498186411775
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,EFNA1,Ephrin-A1,36412,833,1.40 [1.13-1.75],0.0022983398397657
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ELN,Elastin,31754,727,1.53 [1.25-1.88],4.3938802121237146e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ENAH,Protein enabled homolog,35824,825,1.22 [1.07-1.38],0.0023468345262165
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,EPHA2,Ephrin type-A receptor 2,35171,805,1.42 [1.16-1.73],0.0005333827693801
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ERBB4,Receptor tyrosine-protein kinase erbB-4,36594,835,0.67 [0.52-0.87],0.002343518242372
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ESAM,Endothelial cell-selective adhesion molecule,36922,845,1.36 [1.13-1.64],0.0013832108161008
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,FABP6,Gastrotropin,35753,816,1.16 [1.04-1.30],0.0067245242379097
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,FAP,Prolyl endopeptidase FAP,36922,845,1.36 [1.08-1.70],0.0079047282599236
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,FGFBP2,Fibroblast growth factor-binding protein 2,31761,729,1.36 [1.18-1.56],1.275529031943836e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,FNDC1,Fibronectin type III domain-containing protein 1,31675,730,1.32 [1.13-1.54],0.0004281806009906
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GAST,Gastrin,31675,730,1.10 [1.05-1.16],0.0001694613062977
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GET3,ATPase GET3,31754,727,1.18 [1.05-1.33],0.0050333828620937
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GFER,FAD-linked sulfhydryl oxidase ALR,35640,810,1.15 [1.05-1.27],0.0037659468547346
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GGH,Gamma-glutamyl hydrolase,35849,811,0.77 [0.64-0.94],0.0086664384354261
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GPNMB,Transmembrane glycoprotein NMB,35483,803,1.53 [1.22-1.92],0.0001950391049411
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GSN,Gelsolin,31659,727,1.67 [1.14-2.45],0.0090776461866237
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,GSR,"Glutathione reductase, mitochondrial",31578,727,1.61 [1.18-2.21],0.0030610348342585
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,HAVCR2,Hepatitis A virus cellular receptor 2,36473,836,1.38 [1.16-1.65],0.0003483983078688
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,HYOU1,Hypoxia up-regulated protein 1,36922,845,1.51 [1.15-1.99],0.0032741757555054
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IFNGR1,Interferon gamma receptor 1,36634,834,1.48 [1.11-1.97],0.0079783744249675
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IGFBP1,Insulin-like growth factor-binding protein 1,36859,844,1.09 [1.04-1.15],0.0007002669706566
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IGFBP2,Insulin-like growth factor-binding protein 2,36861,842,1.20 [1.09-1.33],0.000274097126492
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IGFBP4,Insulin-like growth factor-binding protein 4,36000,829,1.29 [1.12-1.49],0.0003723454153325
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IGSF8,Immunoglobulin superfamily member 8,36471,832,1.32 [1.08-1.60],0.0063142902823952
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IL10RB,Interleukin-10 receptor subunit beta,36634,834,1.39 [1.13-1.71],0.0018990813668111
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,IL1RL1,Interleukin-1 receptor-like 1,36788,836,1.20 [1.05-1.37],0.0073163241245318
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,JAM2,Junctional adhesion molecule B,36806,847,1.56 [1.24-1.96],0.0001309609368152
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,KLK3,Prostate-specific antigen,31761,729,0.85 [0.79-0.92],3.993629395928689e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,KLK4,Kallikrein-4,36805,841,1.24 [1.13-1.36],7.639202665117113e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LAMA1,Laminin subunit alpha-1,30722,706,0.76 [0.64-0.91],0.0020623231020231
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LAMA4,Laminin subunit alpha-4,36634,834,1.27 [1.06-1.52],0.0097946859310441
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LAYN,Layilin,36155,827,1.40 [1.17-1.67],0.0001958155563988
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LEG1,Protein LEG1 homolog,29972,692,0.86 [0.77-0.96],0.0097186896260006
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LEP,Leptin,36471,832,0.78 [0.71-0.85],4.86529027623479e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LGALS3,Galectin-3,36554,831,1.53 [1.25-1.89],4.48922251411373e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LIPF,Gastric triacylglycerol lipase,30925,702,1.24 [1.10-1.39],0.0004116994688105
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,LMNB2,Lamin-B2,31675,730,1.44 [1.13-1.84],0.0028261587761421
