Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ASGR1,Asialoglycoprotein receptor 1,18243,3772,1.55 [1.42-1.70],1.310784943054988e-20
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ASGR2,Asialoglycoprotein receptor 2,16142,3286,1.40 [1.23-1.58],1.24241373565365e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ATRAID,All-trans retinoic acid-induced differentiation factor,16040,3256,1.21 [1.09-1.36],0.0006954469231888
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,B2M,Beta-2-microglobulin,16158,3284,1.22 [1.12-1.33],7.98458436359204e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,B4GALT1,"Beta-1,4-galactosyltransferase 1",18483,3804,1.30 [1.17-1.44],8.851336555607257e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,17984,3696,1.13 [1.08-1.18],8.135693644396513e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BCAN,Brevican core protein,18243,3772,0.86 [0.79-0.94],0.0005501242319062
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BOC,Brother of CDO,18082,3730,0.75 [0.66-0.85],9.27976339346363e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BPIFA2,BPI fold-containing family A member 2,15131,3062,0.94 [0.91-0.97],0.0001029853021836
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BST2,Bone marrow stromal antigen 2,18561,3823,1.13 [1.07-1.19],7.315137706430479e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BTN2A1,Butyrophilin subfamily 2 member A1,18483,3804,1.23 [1.11-1.37],0.0001359682255643
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,BTN3A2,Butyrophilin subfamily 3 member A2,18351,3789,1.17 [1.09-1.26],2.156764379694234e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,C1QA,Complement C1q subcomponent subunit A,18498,3796,1.35 [1.18-1.53],9.010370433973248e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,C1RL,Complement C1r subcomponent-like protein,16127,3277,1.37 [1.15-1.63],0.0004181985980642
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CA14,Carbonic anhydrase 14,18549,3809,0.85 [0.78-0.92],0.0001074209510116
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CA5A,"Carbonic anhydrase 5A, mitochondrial",18082,3730,1.06 [1.03-1.09],0.000464203162095
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CA6,Carbonic anhydrase 6,18375,3803,0.89 [0.85-0.93],2.138165940890702e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CA9,Carbonic anhydrase 9,18549,3809,1.11 [1.04-1.17],0.0008150312791045
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CALB1,Calbindin,18302,3767,1.12 [1.05-1.20],0.0007826609184429
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CANT1,Soluble calcium-activated nucleotidase 1,18352,3778,1.33 [1.16-1.54],7.379212773795175e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CAPG,Macrophage-capping protein,18227,3730,1.09 [1.04-1.15],0.0003275535707397
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CBLIF,Cobalamin binding intrinsic factor,18371,3779,1.07 [1.03-1.11],0.0003266839737354
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CBLN4,Cerebellin-4,18549,3809,0.81 [0.74-0.89],7.112994775626145e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL14,C-C motif chemokine 14,18395,3785,1.16 [1.09-1.25],2.02236578193343e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL15,C-C motif chemokine 15,18641,3838,1.17 [1.10-1.25],1.007761474471378e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL16,C-C motif chemokine 16,18641,3838,1.22 [1.15-1.29],3.042666019792764e-11
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL20,C-C motif chemokine 20,18580,3817,1.13 [1.10-1.16],1.0736689682724835e-16
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL23,C-C motif chemokine 23,18483,3804,1.18 [1.11-1.27],1.3551847352822197e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL27,C-C motif chemokine 27,18408,3789,1.10 [1.05-1.16],0.0001267205786528
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL3,C-C motif chemokine 3,18351,3789,1.13 [1.08-1.18],3.629465085513165e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL7,C-C motif chemokine 7,18351,3789,1.10 [1.05-1.16],4.731398112512308e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCN3,CCN family member 3,18607,3828,1.20 [1.11-1.31],1.4023428874889906e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD14,Monocyte differentiation antigen CD14,18092,3738,1.14 [1.07-1.23],0.000212106769573
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD1C,T-cell surface glycoprotein CD1c,18480,3807,0.81 [0.72-0.91],0.0003805384391059
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD248,Endosialin,16133,3284,0.86 [0.79-0.93],0.0002940367624943
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD27,CD27 antigen,18480,3807,1.18 [1.10-1.26],1.684666400646166e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD274,Programmed cell death 1 ligand 1,18243,3772,1.18 [1.09-1.29],8.387936707540195e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD300A,CMRF35-like molecule 8,15775,3200,1.25 [1.12-1.40],0.0001041518219588
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD300C,CMRF35-like molecule 6,18561,3823,1.21 [1.11-1.31],5.867686405892754e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD300E,CMRF35-like molecule 2,18481,3796,1.20 [1.12-1.28],3.778433541495366e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD300LF,CMRF35-like molecule 1,18549,3809,1.10 [1.05-1.16],0.0001119997421122
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD302,CD302 antigen,18302,3767,1.42 [1.30-1.55],3.1277847499385515e-14
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD34,Hematopoietic progenitor cell antigen CD34,18505,3812,0.70 [0.62-0.79],1.3450119323869537e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,18302,3767,1.19 [1.09-1.30],0.0001483709261553
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD4,T-cell surface glycoprotein CD4,18319,3782,1.23 [1.13-1.34],2.2340759223962035e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD58,Lymphocyte function-associated antigen 3,18372,3782,0.73 [0.62-0.86],0.0001596232013621
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD59,CD59 glycoprotein,17772,3637,1.30 [1.15-1.47],3.813401126139281e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD74,HLA class II histocompatibility antigen gamma chain,18561,3823,1.21 [1.11-1.31],6.6940117458045495e-06
