Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastric ulcer,EDN1,Endothelin-1,15214,123,2.47 [1.47-4.15],0.000667454936189
Chapter XI Diseases of the digestive system,Gastric ulcer,EFNA1,Ephrin-A1,17959,156,2.58 [1.74-3.83],2.6452826578058574e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,EFNA4,Ephrin-A4,17804,155,2.59 [1.89-3.56],3.910471806378519e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,EGFR,Epidermal growth factor receptor,18205,161,0.15 [0.06-0.34],9.432371700988338e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,EPHA2,Ephrin type-A receptor 2,17335,154,2.76 [1.95-3.91],9.88959279643529e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,EPHB4,Ephrin type-B receptor 4,18205,161,2.59 [1.62-4.13],6.404186603952211e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,EPO,Erythropoietin,17959,161,1.44 [1.26-1.65],1.5657074305360326e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,FABP1,"Fatty acid-binding protein, liver",17949,160,1.38 [1.20-1.58],3.603228475549573e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,FABP4,"Fatty acid-binding protein, adipocyte",18205,161,1.87 [1.49-2.35],7.661719124940645e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,FAM20A,Pseudokinase FAM20A,15637,126,3.38 [2.09-5.45],6.401291027230143e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,FAM3B,Protein FAM3B,17917,160,2.02 [1.35-3.04],0.0007115344789603
Chapter XI Diseases of the digestive system,Gastric ulcer,FAM3C,Protein FAM3C,17952,160,2.51 [1.65-3.81],1.593407420572684e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,FBLN2,Fibulin-2,15651,127,2.96 [1.91-4.60],1.2757928364143111e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,FCN1,Ficolin-1,15627,128,1.83 [1.30-2.58],0.0005543313417353
Chapter XI Diseases of the digestive system,Gastric ulcer,FGF21,Fibroblast growth factor 21,18123,163,1.22 [1.10-1.36],0.0002332410630483
Chapter XI Diseases of the digestive system,Gastric ulcer,FGF23,Fibroblast growth factor 23,18112,163,1.62 [1.35-1.95],2.862366471132339e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,FGFR2,Fibroblast growth factor receptor 2,18030,159,5.17 [3.12-8.57],1.7865353983119348e-10
Chapter XI Diseases of the digestive system,Gastric ulcer,FGL1,Fibrinogen-like protein 1,15650,128,1.58 [1.25-1.99],0.0001511773002855
Chapter XI Diseases of the digestive system,Gastric ulcer,FOLR1,Folate receptor alpha,17959,159,2.12 [1.43-3.13],0.0001719647530403
Chapter XI Diseases of the digestive system,Gastric ulcer,FSTL1,Follistatin-related protein 1,15214,123,3.51 [1.85-6.68],0.0001265892564162
Chapter XI Diseases of the digestive system,Gastric ulcer,FSTL3,Follistatin-related protein 3,17922,160,3.24 [2.30-4.57],2.085525394363284e-11
