Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIRPB1,Signal-regulatory protein beta-1,25846,141,1.41 [1.01-1.95],0.0411470466020866
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIRT1,NAD-dependent protein deacetylase sirtuin-1,21938,122,0.89 [0.70-1.12],0.3218875998402563
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIRT2,NAD-dependent protein deacetylase sirtuin-2,25777,141,1.23 [1.05-1.46],0.0130187616048895
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",25259,140,0.94 [0.71-1.25],0.6830960831619455
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SIT1,Signaling threshold-regulating transmembrane adapter 1,25383,138,1.34 [1.03-1.75],0.028291779726158
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SKAP1,Src kinase-associated phosphoprotein 1,25667,140,1.18 [0.97-1.44],0.0938498769107019
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SKAP2,Src kinase-associated phosphoprotein 2,26010,141,1.13 [0.98-1.30],0.1014348682288017
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SKIV2L,Helicase SKI2W,21856,113,1.07 [0.70-1.62],0.7595485241812128
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLA2,Src-like-adapter 2,22551,127,1.31 [1.11-1.54],0.0012778921605661
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLAMF1,Signaling lymphocytic activation molecule,25383,138,1.28 [0.99-1.67],0.0634001389741406
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLAMF6,SLAM family member 6,25275,135,1.50 [1.02-2.22],0.0407626029711748
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLAMF7,SLAM family member 7,25851,142,1.14 [0.88-1.46],0.3192109642360695
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLAMF8,SLAM family member 8,25275,135,1.61 [1.21-2.15],0.0010232316452485
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC12A2,Solute carrier family 12 member 2,21856,113,0.69 [0.33-1.43],0.3180413952301835
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC13A1,Solute carrier family 13 member 1,22456,127,1.01 [0.77-1.32],0.9330479599997408
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC16A1,Monocarboxylate transporter 1,25259,140,1.22 [0.99-1.50],0.0585567348130992
