Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPT2,Angiopoietin-2,19526,605,0.81 [0.67-0.99],0.0353037443732862
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPTL1,Angiopoietin-related protein 1,19121,599,1.21 [0.95-1.55],0.1201737889735118
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPTL2,Angiopoietin-related protein 2,19393,600,0.94 [0.78-1.12],0.4730538859306115
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPTL3,Angiopoietin-related protein 3,19364,603,1.00 [0.82-1.22],0.9852703634210708
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPTL4,Angiopoietin-related protein 4,19416,601,0.94 [0.80-1.10],0.449465237196595
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANGPTL7,Angiopoietin-related protein 7,19526,605,1.14 [0.94-1.38],0.1855522577772718
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANK2,Ankyrin-2,16349,514,1.00 [0.89-1.13],0.9566984993092632
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,16399,515,1.00 [0.90-1.12],0.9598055467414696
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANKRA2,Ankyrin repeat family A protein 2,16283,511,1.00 [0.86-1.16],0.9903756453475956
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANKRD54,Ankyrin repeat domain-containing protein 54,18914,584,0.92 [0.80-1.04],0.1902824513331177
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,16444,498,0.94 [0.76-1.16],0.5466083294961716
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANPEP,Aminopeptidase N,19385,603,0.92 [0.71-1.19],0.539570686133094
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA1,Annexin A1,16405,510,0.97 [0.80-1.17],0.7330822261741208
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA10,Annexin A10,18914,591,1.04 [0.95-1.14],0.3832479308741187
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA11,Annexin A11,19293,599,1.04 [0.93-1.16],0.5063511950143991
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA2,Annexin A2,16183,491,0.99 [0.87-1.12],0.8610863758879189
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA3,Annexin A3,19498,605,0.95 [0.86-1.05],0.2977423162998532
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA4,Annexin A4,19277,606,0.96 [0.87-1.07],0.4739395408745617
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA5,Annexin A5,18856,589,1.14 [0.90-1.44],0.2843443583903593
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AOC1,Amiloride-sensitive amine oxidase [copper-containing],18977,588,1.02 [0.90-1.15],0.7581119634852059
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AOC3,Membrane primary amine oxidase,19422,603,0.86 [0.68-1.09],0.2036297589843838
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AP1G2,AP-1 complex subunit gamma-like 2,16777,512,1.02 [0.92-1.13],0.7490530694923776
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AP2B1,AP-2 complex subunit beta,16402,516,0.97 [0.82-1.16],0.7596216706649878
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AP3B1,AP-3 complex subunit beta-1,16790,513,1.04 [0.93-1.16],0.5400952009430053
