Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BLMH,Bleomycin hydrolase,23999,130,0.64 [0.42-1.00],0.0485515512409787
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BMP6,Bone morphogenetic protein 6,23226,127,0.66 [0.48-0.93],0.0167407541198543
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BRAP,BRCA1-associated protein,20379,119,0.85 [0.73-0.99],0.0430350948063621
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,BTLA,B- and T-lymphocyte attenuator,19918,114,1.22 [1.06-1.41],0.004465507266745
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,C1QA,Complement C1q subcomponent subunit A,23828,129,1.96 [1.00-3.85],0.049844806920972
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,C5,Complement C5,20708,117,3.46 [1.49-8.00],0.0037789478734293
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,C9,Complement component C9,20687,118,1.66 [1.14-2.43],0.0081946868601437
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CALB1,Calbindin,23630,126,1.47 [1.01-2.15],0.0470133898230248
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,23834,128,0.82 [0.70-0.95],0.0091537114448678
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CBLIF,Cobalamin binding intrinsic factor,23679,128,1.29 [1.05-1.58],0.0157355775298907
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CBLN4,Cerebellin-4,23909,129,0.58 [0.35-0.94],0.02603855344691
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CCDC134,Coiled-coil domain-containing protein 134,20551,118,0.62 [0.42-0.91],0.0152338911038036
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CCL26,C-C motif chemokine 26,23671,130,0.77 [0.63-0.95],0.0119558741349008
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CCL7,C-C motif chemokine 7,23671,130,1.33 [1.08-1.63],0.0064554328312213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD244,Natural killer cell receptor 2B4,23948,130,0.49 [0.28-0.87],0.0154306169408947
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD27,CD27 antigen,23800,130,1.45 [1.01-2.10],0.0457106569525066
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD2AP,CD2-associated protein,23720,128,0.76 [0.59-0.97],0.0283556288067137
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD300A,CMRF35-like molecule 8,20235,114,1.83 [1.01-3.31],0.0454183691081231
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD40LG,CD40 ligand,23948,130,0.79 [0.65-0.97],0.0218103733385175
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD5,T-cell surface glycoprotein CD5,23876,129,1.56 [1.06-2.30],0.0245977394015132
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD69,Early activation antigen CD69,23600,128,0.84 [0.70-1.00],0.0481974711662401
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD74,HLA class II histocompatibility antigen gamma chain,23913,130,1.96 [1.30-2.96],0.0012640942834806
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD84,SLAM family member 5,23671,130,0.51 [0.31-0.84],0.0077940511919111
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CD86,T-lymphocyte activation antigen CD86,20559,119,0.51 [0.31-0.86],0.0106098963845509
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CDH2,Cadherin-2,23720,128,0.54 [0.36-0.82],0.0039307330350129
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CDHR2,Cadherin-related family member 2,23630,126,0.66 [0.54-0.82],9.827498220988904e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CDON,Cell adhesion molecule-related/down-regulated by oncogenes,23760,128,0.40 [0.23-0.71],0.0015982377307252
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,23763,130,0.54 [0.32-0.92],0.0229040222003142
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CELA2A,Chymotrypsin-like elastase family member 2A,20666,117,0.73 [0.55-0.98],0.0329516624440807
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CES1,Liver carboxylesterase 1,23756,128,0.82 [0.67-1.00],0.0470320545741549
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",20621,116,1.63 [1.09-2.45],0.0179971573141292
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CHGA,Chromogranin-A,20666,117,1.58 [1.37-1.81],8.505637269972242e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CHRDL2,Chordin-like protein 2,23720,128,0.69 [0.52-0.93],0.0129520919184282
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CKAP4,Cytoskeleton-associated protein 4,23831,130,1.88 [1.11-3.18],0.0189505440750251
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CLEC4A,C-type lectin domain family 4 member A,23671,130,0.61 [0.40-0.93],0.0202587275269015
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CLEC4C,C-type lectin domain family 4 member C,23671,130,1.43 [1.03-1.97],0.0307174299444211
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CLEC6A,C-type lectin domain family 6 member A,23153,128,1.43 [1.04-1.95],0.0263686730339922
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CLINT1,Clathrin interactor 1,19918,114,0.39 [0.24-0.62],7.50321779714766e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CLU,Clusterin,20708,117,1.56 [1.15-2.11],0.004652059724449
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CNST,Consortin,23720,128,0.83 [0.72-0.96],0.012448791720754
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CNTN1,Contactin-1,23999,130,0.52 [0.30-0.91],0.0217939500005143
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CNTN4,Contactin-4,23713,130,0.48 [0.26-0.87],0.0165433285082201
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CNTN5,Contactin-5,23758,129,0.65 [0.42-0.99],0.0449192541264694
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,COL24A1,Collagen alpha-1(XXIV) chain,20559,119,0.69 [0.53-0.91],0.0076702132545595
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CORO1A,Coronin-1A,23213,126,0.80 [0.66-0.97],0.0222262936667415
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CRELD1,Protein disulfide isomerase CRELD1,20235,114,1.97 [1.24-3.11],0.0038337298741714
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CSNK2A1,Casein kinase II subunit alpha,20638,117,0.66 [0.44-0.99],0.0428219226310362
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CSRP3,Cysteine and glycine-rich protein 3,20016,114,0.79 [0.63-0.98],0.0348951875865564
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CST6,Cystatin-M,23094,127,0.65 [0.47-0.91],0.0107395045781639
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CTBS,Di-N-acetylchitobiase,20382,117,2.22 [1.13-4.35],0.0199149434082688
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CTSB,Cathepsin B,23733,130,0.69 [0.51-0.94],0.0191249596585763
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,CTSH,Pro-cathepsin H,23204,127,1.57 [1.28-1.93],1.3883528005736604e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DAG1,Dystroglycan,23831,128,0.70 [0.50-0.99],0.0409100511447698
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DCXR,L-xylulose reductase,23800,130,0.66 [0.49-0.91],0.0098761790885696
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DDHD2,Phospholipase DDHD2,20638,117,0.76 [0.58-0.99],0.0440935175893328
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DDR1,Epithelial discoidin domain-containing receptor 1,23913,130,0.45 [0.22-0.92],0.0274777049753766
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DDX53,Probable ATP-dependent RNA helicase DDX53,20082,113,0.59 [0.35-1.00],0.0486138118493796
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial",23671,130,0.84 [0.71-0.98],0.0309610830875412
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DGKA,Diacylglycerol kinase alpha,20078,115,0.68 [0.48-0.96],0.0306603497495187
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DNER,Delta and Notch-like epidermal growth factor-related receptor,23683,128,0.49 [0.26-0.91],0.0237674082309337
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DPP4,Dipeptidyl peptidase 4,23258,127,0.38 [0.23-0.63],0.0002195294277556
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DUOX2,Dual oxidase 2,23265,127,1.19 [1.00-1.42],0.0479186396394827
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,DUSP13,Dual specificity protein phosphatase 13 isoform A,20551,118,0.57 [0.36-0.92],0.0213722748432528
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",20666,118,0.76 [0.58-0.98],0.0369016085807431
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EDAR,Tumor necrosis factor receptor superfamily member EDAR,23671,130,0.78 [0.66-0.93],0.0055994147782986
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EGFR,Epidermal growth factor receptor,23999,130,0.41 [0.21-0.81],0.0105576058169511
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,23948,130,0.85 [0.73-1.00],0.04470450015758
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,20638,117,0.73 [0.55-0.98],0.0357642188478685
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ENG,Endoglin,23999,130,0.50 [0.26-0.95],0.0354649547930821
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,22984,126,0.83 [0.69-1.00],0.0465242166303467
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EPO,Erythropoietin,23671,130,1.21 [1.01-1.44],0.0360884574389159
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,EPPK1,Epiplakin,20139,113,0.73 [0.57-0.95],0.0196678995805913
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ERBB2,Receptor tyrosine-protein kinase erbB-2,23800,130,0.32 [0.20-0.51],2.365158334941343e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,ERBB3,Receptor tyrosine-protein kinase erbB-3,23644,128,0.38 [0.17-0.86],0.0199494465245984
