Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRV1,Adhesion G-protein coupled receptor V1,13061,86,1.07 [0.81-1.42],0.637641281982283
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADH1B,All-trans-retinol dehydrogenase,13189,86,1.30 [1.01-1.67],0.0441067009167308
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,15277,102,1.19 [0.96-1.48],0.1095992263644242
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADIPOQ,Adiponectin,13504,89,0.95 [0.70-1.28],0.7336780648259766
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADM,Pro-adrenomedullin,15686,104,2.10 [1.04-4.26],0.0395637946419924
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADRA2A,Alpha-2A adrenergic receptor,13037,87,1.28 [1.03-1.59],0.0288335855121906
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AFAP1,Actin filament-associated protein 1,13189,86,1.07 [0.84-1.37],0.5601645348841158
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AFM,Afamin,13504,89,2.87 [1.07-7.71],0.0359517860327123
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AFP,Alpha-fetoprotein,15354,106,1.23 [0.94-1.60],0.1276167664401097
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGBL2,Cytosolic carboxypeptidase 2,13061,86,0.92 [0.75-1.13],0.4231157655212675
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGER,Advanced glycosylation end product-specific receptor,15504,104,0.94 [0.61-1.47],0.7934991166387902
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGR2,Anterior gradient protein 2 homolog,15097,101,0.94 [0.78-1.14],0.5518106317143758
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGR3,Anterior gradient protein 3,15179,101,1.20 [0.90-1.59],0.2124179870699762
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGRN,Agrin,15608,104,1.34 [0.81-2.24],0.2572551148022897
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGRP,Agouti-related protein,15744,107,0.97 [0.69-1.36],0.8605873019440172
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGT,Angiotensinogen,13510,90,0.91 [0.35-2.39],0.8539063083310985
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AGXT,Serine--pyruvate aminotransferase,15548,104,1.06 [0.84-1.33],0.6349315617790554
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHCY,Adenosylhomocysteinase,15548,104,1.11 [0.86-1.43],0.4111807060018645
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHNAK,Neuroblast differentiation-associated protein AHNAK,13113,87,1.68 [0.98-2.89],0.0600506319926492
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHNAK2,Protein AHNAK2,13113,87,1.26 [0.65-2.46],0.4961433608757245
