Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,18991,188,1.12 [0.99-1.26],0.0698261504214236
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Other arrhythmias,25048,40,1.04 [0.78-1.39],0.7947056111954195
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,25069,61,1.12 [0.91-1.38],0.2684157710861615
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Heart failure, strict",27144,119,0.99 [0.82-1.18],0.8776430541879863
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Stroke, including SAH",27108,112,0.95 [0.78-1.16],0.6243957828397864
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",27140,83,1.01 [0.82-1.25],0.9114950454136
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",27188,72,0.95 [0.75-1.21],0.6831864848121301
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,26917,50,1.12 [0.88-1.43],0.3497512362758229
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,26950,83,1.17 [0.98-1.39],0.0846285492600817
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),26417,115,1.09 [0.93-1.27],0.2868473805994306
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,DVT of lower extremities,26397,95,1.12 [0.94-1.32],0.1971204663673236
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,"!Phlebitis/thrombophlebitis venae iliacae [externae/internae/communis], drug-induced",27472,91,1.13 [0.96-1.33],0.1477572391215288
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Varicose veins,26732,430,1.11 [1.03-1.20],0.0073399631075113
IKZF2,Zinc finger protein Helios,Chapter IX Diseases of the circulatory system,Hypotension,26909,55,1.07 [0.84-1.35],0.5907014056534596
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,23406,1902,1.04 [1.00-1.09],0.0680254785956865
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Acute upper respiratory infections,27414,135,1.18 [1.03-1.34],0.0153352512718941
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Influenza and pneumonia,26459,184,1.16 [1.03-1.30],0.0116133164321365
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",26433,158,1.13 [0.99-1.29],0.0599161867695355
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,27044,207,1.12 [1.00-1.26],0.0492845182336279
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,27042,205,1.13 [1.01-1.27],0.0371151477456943
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,26763,652,1.00 [0.92-1.07],0.9043666238334483
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Chronic sinusitis,26203,92,0.79 [0.60-1.02],0.0756371640260899
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Nasal polyp,26219,108,1.00 [0.84-1.20],0.986903684928444
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",26528,417,0.99 [0.90-1.09],0.8614412778022492
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Deviated nasal septum,26332,221,0.94 [0.82-1.08],0.4038281406019021
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Vocal cord dysfunction,15928,50,1.04 [0.80-1.34],0.7883385820947111
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,25311,856,1.03 [0.96-1.10],0.387428148993428
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Early onset COPD,26931,104,1.01 [0.82-1.25],0.8937067545972291
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",26931,104,1.01 [0.82-1.25],0.8937067545972291
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",26931,104,1.01 [0.82-1.25],0.8937067545972291
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",25911,779,1.03 [0.96-1.10],0.3958925376400225
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Asthma,21172,779,1.03 [0.96-1.10],0.375723228470564
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",21033,779,1.03 [0.96-1.10],0.3932950244911964
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",21157,764,1.03 [0.97-1.11],0.3479013823320064
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,27454,55,1.01 [0.77-1.31],0.9509689903643826
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Interstitial lung disease,26334,42,0.92 [0.65-1.30],0.6229967350820558
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",27514,42,0.91 [0.64-1.29],0.5982531978767819
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,26327,35,0.86 [0.56-1.30],0.470126418455015
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Pleural effusion,26322,75,1.02 [0.83-1.27],0.8260501374279454
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Other diseases of pleura,26424,177,0.98 [0.84-1.14],0.7510492908319089
IKZF2,Zinc finger protein Helios,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,26809,83,1.06 [0.87-1.29],0.5878912690672637
IKZF2,Zinc finger protein Helios,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19573,5063,1.02 [0.99-1.05],0.2988998579753793
IKZF2,Zinc finger protein Helios,Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",27046,491,0.98 [0.89-1.07],0.6051514697224588
IKZF2,Zinc finger protein Helios,Chapter XI Diseases of the digestive system,Embedded and impacted teeth,27569,141,0.97 [0.83-1.14],0.7450686619067987
