Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WAS,Wiskott-Aldrich syndrome protein,18977,251,0.95 [0.81-1.13],0.5836949508390286
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WASF1,Wiskott-Aldrich syndrome protein family member 1,18949,248,1.02 [0.91-1.16],0.7026500476254858
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WASF3,Wiskott-Aldrich syndrome protein family member 3,18888,250,0.95 [0.83-1.08],0.4225757231162984
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WASHC3,WASH complex subunit 3,16859,198,1.00 [0.83-1.20],0.9740637826318832
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WASL,Neural Wiskott-Aldrich syndrome protein,16387,200,1.06 [0.85-1.31],0.6038728699343487
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WDR46,WD repeat-containing protein 46,16806,202,1.37 [1.00-1.87],0.0478375914598978
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WFDC1,WAP four-disulfide core domain protein 1,16463,201,0.92 [0.70-1.20],0.5213504864559235
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WFDC12,WAP four-disulfide core domain protein 12,19461,260,0.98 [0.83-1.16],0.8434645425956917
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WFDC2,WAP four-disulfide core domain protein 2,18389,248,1.00 [0.74-1.34],0.9755846822282715
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1",19095,251,0.81 [0.62-1.07],0.1383262243289477
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",19372,261,1.01 [0.73-1.39],0.9481365056915472
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,WIF1,Wnt inhibitory factor 1,19492,260,0.82 [0.59-1.12],0.2133270409768102
