Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20640.Liking for chips or french fries,CD72,B-cell differentiation antigen CD72,33255,0.12965903803388,0.0455556101852162,0.0403700420708566,0.218948033996904,0.0044350867494705
Diet and food preferences,X20640.Liking for chips or french fries,CD83,CD83 antigen,35008,0.138843026779735,0.0488057857918315,0.0431836866277449,0.234502366931724,0.00445239574262681
Diet and food preferences,X20640.Liking for chips or french fries,TGFA,Protransforming growth factor alpha,35008,0.0967492105374286,0.0341891666368883,0.0297384439291275,0.16375997714573,0.00466620926805953
Diet and food preferences,X20640.Liking for chips or french fries,ICAM5,Intercellular adhesion molecule 5,35036,-0.0996116116136514,0.0352947678117625,-0.168789356524706,-0.0304338667025969,0.00477729576329505
Diet and food preferences,X20640.Liking for chips or french fries,ASGR1,Asialoglycoprotein receptor 1,34959,0.156010099412805,0.0552886041586326,0.0476444352618853,0.264375763563725,0.00478535215583504
Diet and food preferences,X20640.Liking for chips or french fries,ANGPTL1,Angiopoietin-related protein 1,34904,-0.150316875481405,0.0536269318700056,-0.255425661946616,-0.0452080890161939,0.00507212925863641
Diet and food preferences,X20640.Liking for chips or french fries,PGF,Placenta growth factor,35140,0.181073139055554,0.0646757848147817,0.054308600818582,0.307837677292526,0.00512410970671204
Diet and food preferences,X20640.Liking for chips or french fries,PRSS8,Prostasin,35000,0.113118746607068,0.0410110489753138,0.0327370906154534,0.193500402598683,0.00582118176135629
Diet and food preferences,X20640.Liking for chips or french fries,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,34781,-0.0580865930514397,0.0211963564936793,-0.0996314517790512,-0.0165417343238281,0.00614691202632995
Diet and food preferences,X20640.Liking for chips or french fries,IGFBP2,Insulin-like growth factor-binding protein 2,35154,-0.0684596999164762,0.0250278847040959,-0.117514353936504,-0.0194050458964482,0.00624191762450864
Diet and food preferences,X20640.Liking for chips or french fries,CLEC7A,C-type lectin domain family 7 member A,35140,0.0721495028303967,0.0263801000411058,0.0204445067498293,0.123854498910964,0.00624837213036098
Diet and food preferences,X20640.Liking for chips or french fries,PTGDS,Prostaglandin-H2 D-isomerase,34943,0.156024728587319,0.0570703274629137,0.0441668867600079,0.267882570414629,0.00626935858432497
Diet and food preferences,X20640.Liking for chips or french fries,CCL19,C-C motif chemokine 19,35137,0.0328760763823418,0.0120811101655482,0.00919710045786724,0.0565550523068163,0.00651351858797118
Diet and food preferences,X20640.Liking for chips or french fries,IL1RAP,Interleukin-1 receptor accessory protein,35037,-0.0957153448451398,0.0352039236804901,-0.1647150352589,-0.0267156544313791,0.00656096488519233
Diet and food preferences,X20640.Liking for chips or french fries,ATP6AP2,Renin receptor,34781,0.101528803263176,0.0374443504672524,0.0281378763473616,0.174919730178991,0.00670988100198358
