Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRX,Cone-rod homeobox protein,45374,4359,1.00 [0.98-1.03],0.7133241779061988
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRYBB1,Beta-crystallin B1,40202,3820,1.04 [0.99-1.09],0.0871035307107373
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRYBB2,Beta-crystallin B2,40119,3814,1.02 [0.98-1.06],0.3082432954053219
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRYGD,Gamma-crystallin D,40119,3814,1.00 [0.97-1.04],0.7957642639860676
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRYM,Ketimine reductase mu-crystallin,38941,3703,1.02 [0.98-1.06],0.3263104369438204
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRYZL1,Quinone oxidoreductase-like protein 1,39147,3715,1.02 [0.98-1.05],0.3084766543035078
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSDE1,Cold shock domain-containing protein E1,38913,3688,1.04 [1.02-1.07],0.0012447377116036
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF1,Macrophage colony-stimulating factor 1,46448,4463,1.50 [1.36-1.65],1.024401244294614e-16
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF1R,Macrophage colony-stimulating factor 1 receptor,40244,3821,1.03 [0.95-1.11],0.5349668239472429
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF2,Granulocyte-macrophage colony-stimulating factor,38913,3688,1.00 [0.91-1.09],0.9246468338494972
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,45890,4396,0.98 [0.94-1.03],0.4472455769122432
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF2RB,Cytokine receptor common subunit beta,39057,3704,1.04 [0.96-1.12],0.3371926833319809
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF3,Granulocyte colony-stimulating factor,45360,4372,1.06 [1.00-1.12],0.0515514483818987
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSF3R,Granulocyte colony-stimulating factor receptor,39057,3704,1.01 [0.92-1.12],0.7822487531292464
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSH1,Chorionic somatomammotropin hormone 1,40244,3821,1.02 [0.92-1.13],0.6748327440282187
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSNK1D,Casein kinase I isoform delta,39057,3704,1.04 [0.99-1.10],0.0811652687016414
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSNK2A1,Casein kinase II subunit alpha,40150,3809,0.97 [0.91-1.04],0.4234970166214278
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSPG4,Chondroitin sulfate proteoglycan 4,40212,3812,0.95 [0.86-1.04],0.2718294712147899
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSPG5,Chondroitin sulfate proteoglycan 5,38941,3703,1.02 [0.96-1.08],0.5671726164869082
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSRP3,Cysteine and glycine-rich protein 3,38913,3688,1.02 [0.98-1.05],0.3344944276034083
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST1,Cystatin-SN,34863,3319,0.98 [0.95-1.01],0.2265967387156683
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST3,Cystatin-C,46337,4462,1.40 [1.28-1.53],7.255526620945217e-13
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST5,Cystatin-D,45389,4351,1.00 [0.95-1.05],0.9891196319806674
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST6,Cystatin-M,45020,4317,1.04 [0.99-1.10],0.1322648110979782
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CST7,Cystatin-F,46295,4454,1.05 [1.02-1.08],0.0007315210949942
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CSTB,Cystatin-B,45592,4383,1.20 [1.12-1.27],1.5109665678742274e-08
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTAG1A_CTAG1B,Cancer/testis antigen 1,39416,3719,1.00 [0.94-1.07],0.8861191963972477
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTBS,Di-N-acetylchitobiase,39655,3758,1.14 [1.01-1.28],0.0307313618551727
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTF1,Cardiotrophin-1,45374,4359,1.00 [0.97-1.03],0.8639669299766647
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTHRC1,Collagen triple helix repeat-containing protein 1,40212,3812,1.00 [0.90-1.12],0.9807512130745863
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTLA4,Cytotoxic T-lymphocyte protein 4,40212,3812,0.95 [0.85-1.05],0.3346863559133785
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTNNA1,Catenin alpha-1,38941,3703,0.92 [0.83-1.01],0.0649978174236994
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTRB1,Chymotrypsinogen B,46237,4450,1.02 [0.97-1.07],0.3615544912544611
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTRC,Chymotrypsin-C,46229,4446,0.98 [0.94-1.02],0.2750130718611808
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTRL,Chymotrypsin-like protease CTRL-1,40119,3814,1.00 [0.96-1.05],0.988156318705735
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSB,Cathepsin B,46279,4449,1.01 [0.96-1.06],0.7471439169124922
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSC,Dipeptidyl peptidase 1,46130,4438,1.05 [0.99-1.12],0.1142752366386495
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSD,Cathepsin D,43249,4157,1.12 [1.05-1.20],0.0007941530208347
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSE,Cathepsin E,39316,3732,1.08 [1.02-1.15],0.0076654979497854
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSF,Cathepsin F,46391,4474,1.15 [1.07-1.22],5.199170360720669e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSH,Pro-cathepsin H,45227,4349,1.04 [1.00-1.08],0.0392883655009972
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSL,Cathepsin L1,46226,4447,1.55 [1.39-1.72],1.2177590137190505e-15
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSO,Cathepsin O,46736,4476,1.30 [1.20-1.42],1.148061015301148e-09
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSS,Cathepsin S,36374,3536,1.32 [1.15-1.51],6.638971945061028e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSV,Cathepsin L2,46492,4467,0.87 [0.82-0.93],4.00625897806835e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CTSZ,Cathepsin Z,46267,4457,1.36 [1.25-1.47],6.787963025884037e-13
