Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",50881,146,0.96 [0.63-1.47],0.8578113208573228
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter IX Diseases of the circulatory system,Transient ischemic attack,49807,158,1.54 [1.06-2.24],0.0231883889115684
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Other sleep disorders,48156,336,1.04 [0.80-1.36],0.7523831930732371
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Sleep apnoea,50332,258,1.13 [0.84-1.51],0.4086820912457372
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",49136,1340,1.20 [1.05-1.38],0.0087742289831618
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",48040,244,1.24 [0.90-1.70],0.1912360252384812
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,48572,776,1.08 [0.90-1.29],0.3962805183497967
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,50881,167,1.55 [1.07-2.24],0.0190603512784668
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Hemiplegia,50830,116,1.45 [0.93-2.26],0.0983115584588684
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter VI Diseases of the nervous system,Other neurological diseases,50493,244,1.40 [1.02-1.91],0.0374007019843804
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of eyelid, lacrimal system and orbit",50145,730,1.06 [0.87-1.28],0.5684969698955207
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,49840,425,1.13 [0.89-1.44],0.3201345952527451
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Chalazion,49565,150,0.78 [0.50-1.22],0.2750238348210451
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,49656,241,1.03 [0.74-1.43],0.8680834173741657
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,49569,154,1.07 [0.71-1.61],0.7538037435377432
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,44328,323,1.29 [0.98-1.69],0.0703308970441498
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,44801,796,1.45 [1.22-1.72],2.71408764653928e-05
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,49463,443,1.81 [1.45-2.25],1.5042491216743753e-07
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,50812,106,3.86 [2.72-5.49],5.51145502774753e-14
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,4389,106,2.31 [1.61-3.30],4.666769432727232e-06
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",46529,106,4.82 [3.36-6.91],1.5060356807546694e-17
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,50124,196,1.19 [0.84-1.70],0.3255453822494299
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified glaucoma,50035,107,1.11 [0.68-1.80],0.6876217492608837
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",50092,176,0.74 [0.49-1.11],0.1438729456459924
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,50376,196,1.30 [0.91-1.84],0.1436454496230844
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diseases of middle ear and mastoid,51270,269,1.21 [0.89-1.63],0.2267417491396164
IGFBPL1,Insulin-like growth factor-binding protein-like 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of ear,49727,203,1.31 [0.93-1.84],0.1259575825338625
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,36437,6594,1.99 [1.84-2.15],1.6152840477063391e-66
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,50195,137,2.68 [1.86-3.87],1.2229006066988657e-07
IGFBPL1,Insulin-like growth factor-binding protein-like 1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38357,4547,2.02 [1.85-2.20],2.8696029246393e-57
