Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCDC80,Coiled-coil domain-containing protein 80,25954,56,1.82 [1.05-3.16],0.0334253951013657
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL11,Eotaxin,26223,55,3.06 [1.67-5.62],0.0003096681836754
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL14,C-C motif chemokine 14,25873,57,1.67 [1.02-2.73],0.0422393617588714
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL15,C-C motif chemokine 15,26271,56,2.78 [1.83-4.21],1.4840528301052245e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL16,C-C motif chemokine 16,26271,56,2.35 [1.53-3.60],9.657996417043412e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL17,C-C motif chemokine 17,25919,56,1.69 [1.32-2.15],2.353498672901624e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL18,C-C motif chemokine 18,25580,57,1.92 [1.63-2.26],7.0783762047551056e-15
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL19,C-C motif chemokine 19,26180,57,1.23 [1.08-1.39],0.0014535272832883
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL2,C-C motif chemokine 2,25744,56,1.55 [1.03-2.33],0.0359702469369423
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL20,C-C motif chemokine 20,26223,55,1.42 [1.19-1.70],0.0001335410649498
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL21,C-C motif chemokine 21,26086,56,1.65 [1.20-2.25],0.0018051818410035
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL22,C-C motif chemokine 22,25711,54,1.53 [1.02-2.30],0.0383603289309238
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL23,C-C motif chemokine 23,26086,56,2.28 [1.34-3.86],0.0022276820242047
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL25,C-C motif chemokine 25,26223,55,1.86 [1.15-3.01],0.0110902473744375
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL28,C-C motif chemokine 28,25834,55,1.61 [1.14-2.27],0.0068733699212879
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL3,C-C motif chemokine 3,25916,56,1.45 [1.24-1.71],5.992434783396692e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL4,C-C motif chemokine 4,26000,56,1.41 [1.13-1.74],0.0018508176282169
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCL7,C-C motif chemokine 7,25916,56,1.84 [1.47-2.30],8.216116377626276e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCN3,CCN family member 3,26233,56,2.15 [1.21-3.80],0.0089735487656037
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CCN4,CCN family member 4,26172,55,2.07 [1.28-3.37],0.0032877899669454
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD14,Monocyte differentiation antigen CD14,25394,53,3.45 [2.17-5.48],1.6248807080897044e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD163,Scavenger receptor cysteine-rich type 1 protein M130,26047,57,2.57 [1.60-4.15],0.0001058336380341
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD164L2,CD164 sialomucin-like 2 protein,21941,53,1.85 [1.09-3.16],0.0233893229411216
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD177,CD177 antigen,25915,57,1.27 [1.03-1.56],0.0270621772129283
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD1C,T-cell surface glycoprotein CD1c,26043,56,0.22 [0.11-0.46],6.19044015146299e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD22,B-cell receptor CD22,26223,55,2.01 [1.21-3.34],0.0073253881653967
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD27,CD27 antigen,26043,56,3.36 [2.19-5.15],2.6915472899491625e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD274,Programmed cell death 1 ligand 1,25781,56,3.45 [2.27-5.25],7.73101994796435e-09
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD28,T-cell-specific surface glycoprotein CD28,25362,53,2.76 [1.83-4.16],1.143157535214863e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD300A,CMRF35-like molecule 8,22109,54,6.53 [3.21-13.27],2.1256322059371242e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD300C,CMRF35-like molecule 6,26180,57,3.89 [2.31-6.54],3.080984273533328e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD300E,CMRF35-like molecule 2,26073,55,3.51 [2.29-5.37],7.1438076686189745e-09
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD300LF,CMRF35-like molecule 1,26172,55,2.29 [1.51-3.46],8.611682492827588e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD302,CD302 antigen,25836,55,3.74 [2.17-6.44],1.904851278103704e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,25836,55,4.88 [2.79-8.53],2.7651108896775505e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD4,T-cell surface glycoprotein CD4,25873,55,2.25 [1.63-3.11],1.0226448432106112e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD46,Membrane cofactor protein,25787,57,2.05 [1.05-3.97],0.0342035060348435
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD48,CD48 antigen,26041,56,2.72 [1.29-5.74],0.0087180693187228
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD5,T-cell surface glycoprotein CD5,26135,55,2.02 [1.06-3.85],0.0318234285031077
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD59,CD59 glycoprotein,25001,55,3.24 [1.62-6.51],0.0009353842418874
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD5L,CD5 antigen-like,22489,54,2.04 [1.22-3.42],0.0067748457445902
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD7,T-cell antigen CD7,21905,54,1.80 [1.12-2.89],0.0149531187284839
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD72,B-cell differentiation antigen CD72,22109,54,2.31 [1.36-3.92],0.0018639645566761
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD74,HLA class II histocompatibility antigen gamma chain,26180,57,5.17 [3.16-8.45],5.468703078621114e-11
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD79B,B-cell antigen receptor complex-associated protein beta chain,26223,55,2.36 [1.62-3.44],7.4759467670374895e-06
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD80,T-lymphocyte activation antigen CD80,22584,53,7.31 [4.67-11.44],3.293251301590792e-18
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD83,CD83 antigen,25916,56,5.64 [3.51-9.07],9.532212464345569e-13
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CD93,Complement component C1q receptor,24957,54,2.12 [1.03-4.38],0.0415814300727528
