Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,28307,403,1.35 [1.12-1.62],0.0013878882224813
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Other and unspecified abdominal hernia,24391,53,0.48 [0.32-0.72],0.0003617322552199
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Other diseases of biliary tract,26737,205,1.36 [1.05-1.76],0.0198823521979199
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Other diseases of liver,28066,628,1.29 [1.11-1.49],0.0006413555402911
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Other inflammatory liver diseases,27521,83,2.04 [1.33-3.13],0.0010025722640241
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Ulcerative colitis,26822,154,1.37 [1.02-1.85],0.0390984277464997
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",26801,133,1.59 [1.15-2.21],0.005402011845783
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XI Diseases of the digestive system,Umbilical hernia,24626,288,0.81 [0.66-0.99],0.0365024454459347
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,26836,2649,1.09 [1.02-1.17],0.0138411175175583
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,27937,813,1.16 [1.02-1.32],0.0199456652899359
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified local infections of skin and subcutaneous tissue,27265,141,1.46 [1.06-1.99],0.0189909067540676
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XII Diseases of the skin and subcutaneous tissue,Other disorders of pigmentation,26723,53,1.78 [1.05-3.02],0.0318449166628746
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XII Diseases of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",26803,133,1.52 [1.10-2.09],0.0112815590947222
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,25418,158,0.69 [0.53-0.90],0.0056969048038112
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Neuralgia and neuritis, unspecified",24801,62,1.79 [1.11-2.91],0.0178514453251035
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,27983,213,1.44 [1.12-1.86],0.0047804675618455
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sicca syndrome [Sjgren],27860,90,2.01 [1.34-3.02],0.0007268798844615
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondyloarthritis,26901,192,0.77 [0.60-0.98],0.0338669984009219
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Acute renal failure,27748,881,1.27 [1.12-1.44],0.0001323166617007
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,27587,720,1.34 [1.17-1.54],2.482295702132541e-05
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Dialysis,26933,66,2.42 [1.50-3.90],0.0002772372665618
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Disorders of breast,15412,209,0.73 [0.58-0.92],0.0076803414105827
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Endometriosis,11568,143,0.72 [0.55-0.96],0.0225759064239846
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Inflammatory diseases of prostate (prostatitis),11197,108,1.74 [1.21-2.51],0.0029309910188025
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Neuromuscular dysfunction of bladder,25961,70,2.03 [1.27-3.23],0.0029660185564579
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Other disorders of breast,15272,69,0.67 [0.45-0.99],0.0452132772602387
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,27008,1117,1.12 [1.01-1.25],0.0377519974913418
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,28121,1575,1.21 [1.10-1.32],5.631231394682009e-05
