Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ITGB1BP2,Integrin beta-1-binding protein 2,32598,0.114038543494394,0.135016306720815,-0.150593417678403,0.378670504667191,0.398341734777622
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,LCN15,Lipocalin-15,31555,-0.0636279313720687,0.0754018591694242,-0.21141557534414,0.0841597126000027,0.398778925297801
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TBR1,T-box brain protein 1,31356,0.0486564754569774,0.0576602922785476,-0.0643576974089759,0.161670648322931,0.398781730931388
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GET3,ATPase GET3,31571,0.0573212769254046,0.0679524186299991,-0.0758654635893935,0.190508017440203,0.398946964305619
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CDHR1,Cadherin-related family member 1,32502,-0.0422220812831712,0.0500770158196197,-0.140373032289626,0.0559288697232833,0.399171852976678
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,FGA,Fibrinogen alpha chain,31403,-0.0313432724731192,0.0371824610177684,-0.104220896067945,0.0415343511217068,0.399278368787551
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ECSCR,Endothelial cell-specific chemotaxis regulator,31342,0.0515315341885783,0.0611368704641759,-0.0682967319212066,0.171359800298363,0.399318031772107
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,31560,0.0912137815046877,0.10825152433208,-0.12095920618619,0.303386769195565,0.399472950767421
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,QPCT,Glutaminyl-peptide cyclotransferase,32732,-0.0264111409002668,0.0313568256311746,-0.0878705191373691,0.0350482373368355,0.399655485533983
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TIMP1,Metalloproteinase inhibitor 1,32611,-0.0285139374202077,0.0338708585678564,-0.0949008202132062,0.0378729453727908,0.399898972358637
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BANK1,B-cell scaffold protein with ankyrin repeats,32728,0.107043890941992,0.127269204986804,-0.142403750832144,0.356491532716127,0.400324441061026
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,31313,0.067556343403645,0.0803408005416369,-0.0899116256579633,0.225024312465253,0.400446526054891
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",31342,0.0325378967626909,0.0387285062555556,-0.043369975498198,0.10844576902358,0.400849075577741
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,MINDY1,Ubiquitin carboxyl-terminal hydrolase MINDY-1,31548,0.109156351437437,0.1300948986606,-0.145829649937339,0.364142352812214,0.401466362409555
