Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29065#2.Symptoms of panic attack_Sweating,PNMA2,Paraneoplastic antigen Ma2,31342,-0.0589102420905006,0.0293062630305866,-0.11635051763045,-0.0014699665505508,0.0444502105116123
Mental health,X29065#2.Symptoms of panic attack_Sweating,CAMLG,Guided entry of tail-anchored proteins factor CAMLG,31356,-0.0703266773981455,0.0350839573788596,-0.13909123386071,-0.00156212093558064,0.0450497291274716
Mental health,X29065#2.Symptoms of panic attack_Sweating,DTNB,Dystrobrevin beta,31536,-0.0582219606363644,0.02910532406968,-0.115268395812937,-0.00117552545979161,0.0454934716766647
Mental health,X29065#2.Symptoms of panic attack_Sweating,STC2,Stanniocalcin-2,32704,0.0332617108774726,0.0166390906061164,0.000649093289484495,0.0658743284654607,0.0456378033495803
Mental health,X29065#2.Symptoms of panic attack_Sweating,ENO3,Beta-enolase,31388,-0.0781468240690748,0.039142163134105,-0.154865463811921,-0.00142818432622902,0.0459168779548823
Mental health,X29065#2.Symptoms of panic attack_Sweating,SNRPB2,U2 small nuclear ribonucleoprotein B'',31548,-0.0589127576488275,0.0295333233146632,-0.116798071345567,-0.00102744395208761,0.0461011072339862
Mental health,X29065#2.Symptoms of panic attack_Sweating,MYOM3,Myomesin-3,31417,-0.122722566202332,0.0615471186099102,-0.243354918677756,-0.00209021372690796,0.0461921703986578
Mental health,X29065#2.Symptoms of panic attack_Sweating,MTUS1,Microtubule-associated tumor suppressor 1,31456,-0.0720078810329285,0.0362177032117542,-0.142994579327967,-0.00102118273789036,0.0468258850215629
Mental health,X29065#2.Symptoms of panic attack_Sweating,TIMP4,Metalloproteinase inhibitor 4,32718,-0.0499756706242978,0.0251495653012861,-0.0992688186148185,-0.000682522633776973,0.0469377949087632
Mental health,X29065#2.Symptoms of panic attack_Sweating,SATB1,DNA-binding protein SATB1,31555,-0.0400392554070075,0.020164713237278,-0.0795620933520724,-0.000516417461942698,0.0471120834476065
Mental health,X29065#2.Symptoms of panic attack_Sweating,BCAN,Brevican core protein,32647,0.0423474062613496,0.0213842909186586,0.000434196060778762,0.0842606164619205,0.0477004712258374
Mental health,X29065#2.Symptoms of panic attack_Sweating,ECSCR,Endothelial cell-specific chemotaxis regulator,31342,0.0646324660405922,0.0326566930710603,0.000625347621314054,0.12863958445987,0.047835818373484
Mental health,X29065#2.Symptoms of panic attack_Sweating,IMMT,MICOS complex subunit MIC60,31548,-0.0573796148939655,0.0290426926414469,-0.114303292471201,-0.000455937316729674,0.0482245959537614
Mental health,X29065#2.Symptoms of panic attack_Sweating,MYO6,Unconventional myosin-VI,31555,-0.0483650522663893,0.0245270662370606,-0.0964381020910281,-0.000292002441750573,0.0486561759269814
Mental health,X29065#2.Symptoms of panic attack_Sweating,CRHR1,Corticotropin-releasing factor receptor 1,32598,0.0772871278808474,0.0392343952100631,0.000387713269123638,0.154186542492571,0.0488834315192767
Mental health,X29065#2.Symptoms of panic attack_Sweating,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,32772,-0.0732402725195319,0.0373715627931513,-0.146488535594108,7.99055504470403e-06,0.0500519061713535
Mental health,X29065#2.Symptoms of panic attack_Sweating,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,32647,-0.0678956592429228,0.0346681965594357,-0.135845324499417,5.40060135711812e-05,0.0502097362256574
Mental health,X29065#2.Symptoms of panic attack_Sweating,SEMA3G,Semaphorin-3G,31417,-0.0556068619882116,0.0284773298074272,-0.111422428410769,0.00020870443434573,0.0508954333159948
Mental health,X29065#2.Symptoms of panic attack_Sweating,M6PR,Cation-dependent mannose-6-phosphate receptor,31388,0.0522571360505433,0.0268059759932221,-0.00028257689617199,0.104796848997259,0.0512777841580847
Mental health,X29065#2.Symptoms of panic attack_Sweating,TSPYL1,Testis-specific Y-encoded-like protein 1,31355,-0.0517988570148609,0.0265849228560212,-0.103905305812662,0.000307591782940639,0.0514008216428291
Mental health,X29065#2.Symptoms of panic attack_Sweating,BAP18,Chromatin complexes subunit BAP18,31548,-0.0877596328755406,0.045072577125451,-0.176101884041425,0.000582618290343451,0.0515622551316554
