Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Bronchiectasis,SNRPB2,U2 small nuclear ribonucleoprotein B'',Inverse variance weighted,2,1.35 [0.44-4.11],0.601836905780863
Chapter X Diseases of the respiratory system,Bronchiectasis,REN,Renin,Inverse variance weighted,12,0.80 [0.64-1.00],0.0530261679519657
Chapter X Diseases of the respiratory system,Bronchiectasis,LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,18,0.90 [0.66-1.23],0.506970105463449
Chapter X Diseases of the respiratory system,Bronchiectasis,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,22,0.92 [0.76-1.11],0.37440102944918
Chapter X Diseases of the respiratory system,Bronchiectasis,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,18,1.07 [0.89-1.29],0.450768228300141
Chapter X Diseases of the respiratory system,Bronchiectasis,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,5,1.41 [0.87-2.28],0.158591074495131
Chapter X Diseases of the respiratory system,Bronchiectasis,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,22,0.97 [0.75-1.25],0.791365559508839
Chapter X Diseases of the respiratory system,Bronchiectasis,ADM,Pro-adrenomedullin,Inverse variance weighted,4,1.01 [0.68-1.52],0.942144995208796
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,1.06 [0.45-2.47],0.901118548637092
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,0.90 [0.53-1.54],0.706974436687446
Chapter X Diseases of the respiratory system,Bronchiectasis,MRC1,Macrophage mannose receptor 1,Inverse variance weighted,24,1.01 [0.80-1.28],0.946469020709693
Chapter X Diseases of the respiratory system,Bronchiectasis,IL15,Interleukin-15,Inverse variance weighted,35,1.08 [0.91-1.29],0.380804577839806
Chapter X Diseases of the respiratory system,Bronchiectasis,ORM1,Alpha-1-acid glycoprotein 1,Inverse variance weighted,21,1.11 [0.95-1.30],0.178728195984397
Chapter X Diseases of the respiratory system,Bronchiectasis,SHISA5,Protein shisa-5,Inverse variance weighted,16,1.40 [0.97-2.01],0.0714138525104467
Chapter X Diseases of the respiratory system,Bronchiectasis,CTSD,Cathepsin D,Inverse variance weighted,24,0.95 [0.80-1.14],0.601859234560211
Chapter X Diseases of the respiratory system,Bronchiectasis,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,Inverse variance weighted,6,1.11 [0.88-1.40],0.394456164504018
Chapter X Diseases of the respiratory system,Bronchiectasis,IMMT,MICOS complex subunit MIC60,Inverse variance weighted,2,1.05 [0.58-1.89],0.877840680725933
Chapter X Diseases of the respiratory system,Bronchiectasis,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.84 [0.61-1.16],0.281301657133415
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL22,C-C motif chemokine 22,Inverse variance weighted,13,0.93 [0.70-1.24],0.633214367453301
Chapter X Diseases of the respiratory system,Bronchiectasis,C7,Complement component C7,Inverse variance weighted,60,0.98 [0.92-1.05],0.6349739547373
Chapter X Diseases of the respiratory system,Bronchiectasis,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,23,0.94 [0.81-1.11],0.473914093496959
Chapter X Diseases of the respiratory system,Bronchiectasis,PRR4,Proline-rich protein 4,Inverse variance weighted,47,1.01 [0.93-1.11],0.763752590333371
Chapter X Diseases of the respiratory system,Bronchiectasis,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,31,1.01 [0.92-1.11],0.808664123655589
Chapter X Diseases of the respiratory system,Bronchiectasis,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,Inverse variance weighted,24,0.95 [0.80-1.12],0.541075612575972
Chapter X Diseases of the respiratory system,Bronchiectasis,HIP1R,Huntingtin-interacting protein 1-related protein,Inverse variance weighted,2,0.68 [0.40-1.16],0.156509659561415
Chapter X Diseases of the respiratory system,Bronchiectasis,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.06 [0.60-1.87],0.836084801763634
Chapter X Diseases of the respiratory system,Bronchiectasis,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.21 [0.86-1.70],0.269951225051105
Chapter X Diseases of the respiratory system,Bronchiectasis,SPON1,Spondin-1,Inverse variance weighted,25,0.99 [0.85-1.14],0.841455463409746
Chapter X Diseases of the respiratory system,Bronchiectasis,CKB,Creatine kinase B-type,Inverse variance weighted,11,1.41 [0.92-2.16],0.118285499515911
Chapter X Diseases of the respiratory system,Bronchiectasis,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,18,1.01 [0.85-1.18],0.947346597631635
Chapter X Diseases of the respiratory system,Bronchiectasis,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,19,0.95 [0.83-1.08],0.447012492647142
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL18,C-C motif chemokine 18,Inverse variance weighted,19,1.19 [1.08-1.32],0.0008208700097261
Chapter X Diseases of the respiratory system,Bronchiectasis,MSLN,Mesothelin,Inverse variance weighted,36,1.03 [0.92-1.15],0.651722706820001
Chapter X Diseases of the respiratory system,Bronchiectasis,MDK,Midkine,Inverse variance weighted,19,0.86 [0.68-1.10],0.237624108372004
Chapter X Diseases of the respiratory system,Bronchiectasis,FGA,Fibrinogen alpha chain,Inverse variance weighted,10,1.30 [0.95-1.78],0.0989865887468001
Chapter X Diseases of the respiratory system,Bronchiectasis,TXNDC5,Thioredoxin domain-containing protein 5,Inverse variance weighted,3,1.05 [0.68-1.64],0.816569199324322
Chapter X Diseases of the respiratory system,Bronchiectasis,F9,Coagulation factor IX,Inverse variance weighted,3,1.74 [0.83-3.67],0.145336788146492
Chapter X Diseases of the respiratory system,Bronchiectasis,CANT1,Soluble calcium-activated nucleotidase 1,Inverse variance weighted,8,1.24 [0.89-1.72],0.202821917775623
Chapter X Diseases of the respiratory system,Bronchiectasis,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,1.11 [0.93-1.34],0.252595624250121
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP9,Matrix metalloproteinase-9,Inverse variance weighted,11,0.90 [0.64-1.25],0.523350001510998
Chapter X Diseases of the respiratory system,Bronchiectasis,MSMB,Beta-microseminoprotein,Inverse variance weighted,92,1.03 [0.97-1.09],0.380307321115853
Chapter X Diseases of the respiratory system,Bronchiectasis,LPCAT2,Lysophosphatidylcholine acyltransferase 2,Inverse variance weighted,5,0.90 [0.65-1.24],0.52103809513551
Chapter X Diseases of the respiratory system,Bronchiectasis,DPY30,Protein dpy-30 homolog,Inverse variance weighted,2,0.63 [0.25-1.60],0.335420538128459
Chapter X Diseases of the respiratory system,Bronchiectasis,CD27,CD27 antigen,Inverse variance weighted,18,0.97 [0.82-1.14],0.715962563218547
Chapter X Diseases of the respiratory system,Bronchiectasis,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,1.03 [0.90-1.17],0.692280709007742
Chapter X Diseases of the respiratory system,Bronchiectasis,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Wald ratio,1,1.18 [0.29-4.76],0.816622376950229
Chapter X Diseases of the respiratory system,Bronchiectasis,BAP18,Chromatin complexes subunit BAP18,Inverse variance weighted,2,1.82 [0.94-3.53],0.0755527093975024
Chapter X Diseases of the respiratory system,Bronchiectasis,CD79B,B-cell antigen receptor complex-associated protein beta chain,Inverse variance weighted,21,1.07 [0.86-1.32],0.549795839763174
Chapter X Diseases of the respiratory system,Bronchiectasis,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,0.90 [0.73-1.12],0.348360618721718
Chapter X Diseases of the respiratory system,Bronchiectasis,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,0.91 [0.68-1.22],0.522235735014105
Chapter X Diseases of the respiratory system,Bronchiectasis,BPIFB1,BPI fold-containing family B member 1,Inverse variance weighted,58,0.95 [0.84-1.06],0.332946938581934
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL28,C-C motif chemokine 28,Inverse variance weighted,30,1.04 [0.87-1.26],0.643862739736152
Chapter X Diseases of the respiratory system,Bronchiectasis,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,0.98 [0.87-1.10],0.69491389813745
Chapter X Diseases of the respiratory system,Bronchiectasis,KLK4,Kallikrein-4,Inverse variance weighted,20,0.98 [0.86-1.12],0.764965138026706
Chapter X Diseases of the respiratory system,Bronchiectasis,CLEC1A,C-type lectin domain family 1 member A,Inverse variance weighted,20,0.97 [0.88-1.08],0.602974565896949
Chapter X Diseases of the respiratory system,Bronchiectasis,CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,0.91 [0.80-1.03],0.123376454233507
Chapter X Diseases of the respiratory system,Bronchiectasis,CTSL,Cathepsin L1,Inverse variance weighted,29,0.94 [0.76-1.16],0.571987809848473
Chapter X Diseases of the respiratory system,Bronchiectasis,CA14,Carbonic anhydrase 14,Inverse variance weighted,21,1.01 [0.77-1.31],0.96477852057788
Chapter X Diseases of the respiratory system,Bronchiectasis,CDH2,Cadherin-2,Inverse variance weighted,21,1.02 [0.81-1.27],0.892675165203175
Chapter X Diseases of the respiratory system,Bronchiectasis,TINAGL1,Tubulointerstitial nephritis antigen-like,Inverse variance weighted,15,0.92 [0.72-1.16],0.469948260165465
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP12,Macrophage metalloelastase,Inverse variance weighted,21,1.05 [0.96-1.14],0.323675917492864
Chapter X Diseases of the respiratory system,Bronchiectasis,CST3,Cystatin-C,Inverse variance weighted,13,0.97 [0.76-1.24],0.795502451891931
Chapter X Diseases of the respiratory system,Bronchiectasis,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,0.97 [0.44-2.11],0.937787290498021
Chapter X Diseases of the respiratory system,Bronchiectasis,CST7,Cystatin-F,Inverse variance weighted,81,1.06 [0.98-1.15],0.144285901798749
Chapter X Diseases of the respiratory system,Bronchiectasis,S100P,Protein S100-P,Inverse variance weighted,8,1.06 [0.81-1.38],0.659198112051978
Chapter X Diseases of the respiratory system,Bronchiectasis,CD46,Membrane cofactor protein,Inverse variance weighted,3,0.94 [0.46-1.96],0.879122176320146
Chapter X Diseases of the respiratory system,Bronchiectasis,IL10,Interleukin-10,Inverse variance weighted,5,0.82 [0.65-1.04],0.097013954107807
Chapter X Diseases of the respiratory system,Bronchiectasis,SIAE,Sialate O-acetylesterase,Inverse variance weighted,9,0.97 [0.72-1.32],0.86923548587063
Chapter X Diseases of the respiratory system,Bronchiectasis,TCN1,Transcobalamin-1,Inverse variance weighted,68,1.01 [0.94-1.10],0.712789894145294
Chapter X Diseases of the respiratory system,Bronchiectasis,PLIN3,Perilipin-3,Wald ratio,1,1.19 [0.52-2.74],0.683432257906368
Chapter X Diseases of the respiratory system,Bronchiectasis,TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,2,0.69 [0.23-2.07],0.512284184550276
Chapter X Diseases of the respiratory system,Bronchiectasis,C9,Complement component C9,Inverse variance weighted,13,1.19 [0.86-1.66],0.301180369193179
Chapter X Diseases of the respiratory system,Bronchiectasis,LETM1,Mitochondrial proton/calcium exchanger protein,Inverse variance weighted,2,2.44 [0.85-7.02],0.0989838792373631
Chapter X Diseases of the respiratory system,Bronchiectasis,MSTN,Growth/differentiation factor 8,Inverse variance weighted,14,1.19 [0.91-1.55],0.199773770254018
Chapter X Diseases of the respiratory system,Bronchiectasis,PLA2G10,Group 10 secretory phospholipase A2,Inverse variance weighted,26,1.01 [0.85-1.20],0.906394524057719
Chapter X Diseases of the respiratory system,Bronchiectasis,CD302,CD302 antigen,Inverse variance weighted,17,0.97 [0.80-1.18],0.765252005492822
Chapter X Diseases of the respiratory system,Bronchiectasis,LCN2,Neutrophil gelatinase-associated lipocalin,Inverse variance weighted,21,0.86 [0.68-1.08],0.194932214937748
Chapter X Diseases of the respiratory system,Bronchiectasis,LBR,Delta(14)-sterol reductase LBR,Inverse variance weighted,2,1.89 [0.48-7.44],0.361977071956324
Chapter X Diseases of the respiratory system,Bronchiectasis,BSG,Basigin,Inverse variance weighted,8,1.09 [0.74-1.60],0.662427300379544
Chapter X Diseases of the respiratory system,Bronchiectasis,IL12A_IL12B,Interleukin-12,Inverse variance weighted,57,1.07 [0.97-1.18],0.165165064749937
Chapter X Diseases of the respiratory system,Bronchiectasis,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,13,1.36 [0.94-1.98],0.105170539991514
Chapter X Diseases of the respiratory system,Bronchiectasis,VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,11,1.17 [0.81-1.70],0.399805661638398
Chapter X Diseases of the respiratory system,Bronchiectasis,CLEC4D,C-type lectin domain family 4 member D,Inverse variance weighted,9,0.87 [0.63-1.22],0.428871251459928
Chapter X Diseases of the respiratory system,Bronchiectasis,TFF3,Trefoil factor 3,Inverse variance weighted,10,1.30 [0.88-1.90],0.183286136304702
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL19,C-C motif chemokine 19,Inverse variance weighted,6,0.70 [0.45-1.11],0.128398645359709
Chapter X Diseases of the respiratory system,Bronchiectasis,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,0.91 [0.81-1.04],0.157949355677555
Chapter X Diseases of the respiratory system,Bronchiectasis,LY9,T-lymphocyte surface antigen Ly-9,Inverse variance weighted,36,0.91 [0.81-1.02],0.119530218877748
Chapter X Diseases of the respiratory system,Bronchiectasis,ITGA11,Integrin alpha-11,Inverse variance weighted,16,0.85 [0.72-1.02],0.0753208503728177
Chapter X Diseases of the respiratory system,Bronchiectasis,INHBB,Inhibin beta B chain,Inverse variance weighted,16,0.94 [0.66-1.33],0.712425201973651
Chapter X Diseases of the respiratory system,Bronchiectasis,CFH,Complement factor H,Inverse variance weighted,25,1.00 [0.85-1.17],0.970754942916771
Chapter X Diseases of the respiratory system,Bronchiectasis,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,6,1.14 [0.88-1.47],0.318070061726828
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL20,C-C motif chemokine 20,Inverse variance weighted,8,1.26 [0.76-2.09],0.376369571385484
Chapter X Diseases of the respiratory system,Bronchiectasis,REG1A,Lithostathine-1-alpha,Inverse variance weighted,26,1.01 [0.89-1.16],0.849879662075832
Chapter X Diseases of the respiratory system,Bronchiectasis,OSCAR,Osteoclast-associated immunoglobulin-like receptor,Inverse variance weighted,31,0.95 [0.88-1.03],0.210665364817811
Chapter X Diseases of the respiratory system,Bronchiectasis,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,Inverse variance weighted,40,1.01 [0.92-1.10],0.876550473572732
Chapter X Diseases of the respiratory system,Bronchiectasis,PTGDS,Prostaglandin-H2 D-isomerase,Inverse variance weighted,9,1.00 [0.60-1.64],0.9851861299036
Chapter X Diseases of the respiratory system,Bronchiectasis,C1RL,Complement C1r subcomponent-like protein,Inverse variance weighted,10,0.98 [0.77-1.25],0.89326847214127
Chapter X Diseases of the respiratory system,Bronchiectasis,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,34,0.85 [0.74-0.98],0.0273509141955543
Chapter X Diseases of the respiratory system,Bronchiectasis,LGALS9,Galectin-9,Inverse variance weighted,39,0.96 [0.85-1.09],0.52158075974965
Chapter X Diseases of the respiratory system,Bronchiectasis,ADAMTSL2,ADAMTS-like protein 2,Inverse variance weighted,9,0.91 [0.66-1.25],0.548963889738642
Chapter X Diseases of the respiratory system,Bronchiectasis,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,Inverse variance weighted,24,0.99 [0.83-1.17],0.868087071124203
Chapter X Diseases of the respiratory system,Bronchiectasis,AREG,Amphiregulin,Inverse variance weighted,7,0.91 [0.64-1.29],0.597840648291178
Chapter X Diseases of the respiratory system,Bronchiectasis,TXNDC15,Thioredoxin domain-containing protein 15,Inverse variance weighted,47,1.00 [0.93-1.08],0.964603705067911
Chapter X Diseases of the respiratory system,Bronchiectasis,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,1.08 [0.50-2.33],0.85365039445797
Chapter X Diseases of the respiratory system,Bronchiectasis,DPP4,Dipeptidyl peptidase 4,Inverse variance weighted,16,1.32 [1.05-1.65],0.0158996546623616
Chapter X Diseases of the respiratory system,Bronchiectasis,TFF2,Trefoil factor 2,Inverse variance weighted,16,1.21 [0.94-1.55],0.133805953382377
Chapter X Diseases of the respiratory system,Bronchiectasis,FSTL3,Follistatin-related protein 3,Inverse variance weighted,7,0.90 [0.54-1.53],0.70535332662763
Chapter X Diseases of the respiratory system,Bronchiectasis,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.05 [0.88-1.26],0.555464264488919
Chapter X Diseases of the respiratory system,Bronchiectasis,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,Inverse variance weighted,4,1.16 [0.69-1.96],0.577470676111311
Chapter X Diseases of the respiratory system,Bronchiectasis,NHLRC3,NHL repeat-containing protein 3,Inverse variance weighted,9,0.89 [0.71-1.12],0.310121726262401
Chapter X Diseases of the respiratory system,Bronchiectasis,CTSS,Cathepsin S,Inverse variance weighted,30,1.08 [0.95-1.23],0.255352925663658
Chapter X Diseases of the respiratory system,Bronchiectasis,ADA2,Adenosine deaminase 2,Inverse variance weighted,18,1.09 [0.89-1.33],0.428837737605603
Chapter X Diseases of the respiratory system,Bronchiectasis,SERPINA1,Alpha-1-antitrypsin,Inverse variance weighted,2,0.72 [0.32-1.64],0.43579047577429
Chapter X Diseases of the respiratory system,Bronchiectasis,FAP,Prolyl endopeptidase FAP,Inverse variance weighted,13,0.90 [0.76-1.08],0.263631641089123
Chapter X Diseases of the respiratory system,Bronchiectasis,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,1.07 [0.93-1.24],0.315795793942582
Chapter X Diseases of the respiratory system,Bronchiectasis,SERPINB8,Serpin B8,Inverse variance weighted,29,0.99 [0.92-1.06],0.763323816529851
Chapter X Diseases of the respiratory system,Bronchiectasis,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,Inverse variance weighted,28,1.21 [1.05-1.40],0.0106427786481097
Chapter X Diseases of the respiratory system,Bronchiectasis,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,Inverse variance weighted,5,0.76 [0.47-1.21],0.242248629759817
Chapter X Diseases of the respiratory system,Bronchiectasis,GBP1,Guanylate-binding protein 1,Inverse variance weighted,15,0.93 [0.80-1.07],0.308450117549403
Chapter X Diseases of the respiratory system,Bronchiectasis,CCL7,C-C motif chemokine 7,Inverse variance weighted,14,0.74 [0.57-0.96],0.0241559749679591
Chapter X Diseases of the respiratory system,Bronchiectasis,CD5,T-cell surface glycoprotein CD5,Inverse variance weighted,13,1.10 [0.84-1.43],0.494009797378685
Chapter X Diseases of the respiratory system,Bronchiectasis,GSN,Gelsolin,Inverse variance weighted,7,0.75 [0.49-1.14],0.175969726886863
Chapter X Diseases of the respiratory system,Bronchiectasis,SEL1L,Protein sel-1 homolog 1,Wald ratio,1,0.94 [0.77-1.16],0.579645360591483
Chapter X Diseases of the respiratory system,Bronchiectasis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Inverse variance weighted,24,0.99 [0.84-1.18],0.94889142145982
Chapter X Diseases of the respiratory system,Bronchiectasis,CD48,CD48 antigen,Inverse variance weighted,32,1.09 [0.99-1.20],0.0844719616826332
Chapter X Diseases of the respiratory system,Bronchiectasis,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Inverse variance weighted,45,0.91 [0.80-1.05],0.186901853438936
Chapter X Diseases of the respiratory system,Bronchiectasis,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,0.99 [0.86-1.13],0.827613114842382
Chapter X Diseases of the respiratory system,Bronchiectasis,CD59,CD59 glycoprotein,Inverse variance weighted,8,0.77 [0.62-0.97],0.0273817227256975
Chapter X Diseases of the respiratory system,Bronchiectasis,FAM20A,Pseudokinase FAM20A,Inverse variance weighted,21,0.89 [0.77-1.04],0.137986464676239
Chapter X Diseases of the respiratory system,Bronchiectasis,POF1B,Protein POF1B,Inverse variance weighted,4,1.14 [0.67-1.94],0.638263677985304
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,Inverse variance weighted,30,1.04 [0.84-1.29],0.694939862695793
Chapter X Diseases of the respiratory system,Bronchiectasis,NTRK2,BDNF/NT-3 growth factors receptor,Inverse variance weighted,7,0.84 [0.58-1.21],0.342888350559759
Chapter X Diseases of the respiratory system,Bronchiectasis,CD14,Monocyte differentiation antigen CD14,Inverse variance weighted,17,0.92 [0.78-1.09],0.363946685573818
Chapter X Diseases of the respiratory system,Bronchiectasis,GRN,Progranulin,Inverse variance weighted,46,1.01 [0.91-1.12],0.82903232489557
Chapter X Diseases of the respiratory system,Bronchiectasis,NECTIN2,Nectin-2,Inverse variance weighted,8,0.82 [0.68-0.99],0.0387975322951798
Chapter X Diseases of the respiratory system,Bronchiectasis,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,17,0.86 [0.69-1.07],0.183428220245257
Chapter X Diseases of the respiratory system,Bronchiectasis,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,27,1.01 [0.84-1.21],0.901058897375357
Chapter X Diseases of the respiratory system,Bronchiectasis,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,0.91 [0.75-1.12],0.377231091977675
Chapter X Diseases of the respiratory system,Bronchiectasis,CD99L2,CD99 antigen-like protein 2,Inverse variance weighted,8,1.07 [0.78-1.49],0.665633085551471
Chapter X Diseases of the respiratory system,Bronchiectasis,TNC,Tenascin,Inverse variance weighted,57,1.14 [1.04-1.25],0.0065108252983621
Chapter X Diseases of the respiratory system,Bronchiectasis,MARCO,Macrophage receptor MARCO,Inverse variance weighted,38,1.02 [0.87-1.19],0.848588807628446
Chapter X Diseases of the respiratory system,Bronchiectasis,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,Inverse variance weighted,28,1.02 [0.83-1.25],0.851507873385287
Chapter X Diseases of the respiratory system,Bronchiectasis,NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,5,1.43 [0.83-2.46],0.19313772208854
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.15 [0.78-1.70],0.471773513754421
Chapter X Diseases of the respiratory system,Bronchiectasis,CLEC6A,C-type lectin domain family 6 member A,Inverse variance weighted,13,1.11 [0.83-1.49],0.483242373386413
Chapter X Diseases of the respiratory system,Bronchiectasis,AGRN,Agrin,Inverse variance weighted,31,0.91 [0.78-1.06],0.234128374192712
Chapter X Diseases of the respiratory system,Bronchiectasis,CLEC5A,C-type lectin domain family 5 member A,Inverse variance weighted,18,0.89 [0.76-1.05],0.160334066543235
Chapter X Diseases of the respiratory system,Bronchiectasis,DSC2,Desmocollin-2,Inverse variance weighted,16,0.93 [0.78-1.12],0.443279656292143
Chapter X Diseases of the respiratory system,Bronchiectasis,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,0.85 [0.52-1.39],0.512325581762754
Chapter X Diseases of the respiratory system,Bronchiectasis,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,Inverse variance weighted,46,1.05 [0.93-1.20],0.42520062646293
Chapter X Diseases of the respiratory system,Bronchiectasis,IL19,Interleukin-19,Inverse variance weighted,21,0.97 [0.85-1.11],0.651698692849147
Chapter X Diseases of the respiratory system,Bronchiectasis,RETN,Resistin,Inverse variance weighted,28,0.95 [0.83-1.07],0.390886706494217
Chapter X Diseases of the respiratory system,Bronchiectasis,KRT19,"Keratin, type I cytoskeletal 19",Inverse variance weighted,5,0.86 [0.54-1.36],0.511378297907912
Chapter X Diseases of the respiratory system,Bronchiectasis,CAPG,Macrophage-capping protein,Inverse variance weighted,34,0.96 [0.86-1.07],0.502869180759083
Chapter X Diseases of the respiratory system,Bronchiectasis,FABP3,"Fatty acid-binding protein, heart",Inverse variance weighted,10,1.37 [0.90-2.08],0.14269005733814
Chapter X Diseases of the respiratory system,Bronchiectasis,LRG1,Leucine-rich alpha-2-glycoprotein,Inverse variance weighted,27,0.94 [0.82-1.07],0.330415095170321
Chapter X Diseases of the respiratory system,Bronchiectasis,FUT3_FUT5,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,Inverse variance weighted,48,0.97 [0.86-1.08],0.538683432131247
Chapter X Diseases of the respiratory system,Bronchiectasis,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,1.03 [0.89-1.20],0.658546716023659
Chapter X Diseases of the respiratory system,Bronchiectasis,NPL,N-acetylneuraminate lyase,Inverse variance weighted,16,1.17 [0.94-1.45],0.153805375112068
Chapter X Diseases of the respiratory system,Bronchiectasis,ICAM3,Intercellular adhesion molecule 3,Inverse variance weighted,33,1.00 [0.85-1.17],0.997560592468556
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFSF8,Tumor necrosis factor ligand superfamily member 8,Inverse variance weighted,15,1.05 [0.77-1.44],0.74412264295172
Chapter X Diseases of the respiratory system,Bronchiectasis,TNR,Tenascin-R,Inverse variance weighted,35,0.96 [0.86-1.09],0.547619339962065
Chapter X Diseases of the respiratory system,Bronchiectasis,MMP3,Stromelysin-1,Inverse variance weighted,35,1.03 [0.90-1.19],0.650056839439236
Chapter X Diseases of the respiratory system,Bronchiectasis,CSTB,Cystatin-B,Inverse variance weighted,25,1.04 [0.92-1.17],0.517438712264446
Chapter X Diseases of the respiratory system,Bronchiectasis,SCGB3A1,Secretoglobin family 3A member 1,Inverse variance weighted,28,0.98 [0.82-1.18],0.856631254227994
Chapter X Diseases of the respiratory system,Bronchiectasis,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Inverse variance weighted,38,1.01 [0.84-1.22],0.923266325882478
Chapter X Diseases of the respiratory system,Bronchiectasis,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,1.18 [0.91-1.53],0.212082989139505
Chapter X Diseases of the respiratory system,Bronchiectasis,CHRDL1,Chordin-like protein 1,Inverse variance weighted,3,1.15 [0.50-2.66],0.747471633975166
Chapter X Diseases of the respiratory system,Bronchiectasis,EGFR,Epidermal growth factor receptor,Inverse variance weighted,15,0.81 [0.58-1.12],0.203978077058552
Chapter X Diseases of the respiratory system,Bronchiectasis,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,2.18 [0.27-17.44],0.461903325265278
Chapter X Diseases of the respiratory system,Bronchiectasis,SCARF1,Scavenger receptor class F member 1,Inverse variance weighted,14,0.95 [0.80-1.13],0.555203502909331
Chapter X Diseases of the respiratory system,Bronchiectasis,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,23,0.98 [0.89-1.08],0.724712061300186
Chapter X Diseases of the respiratory system,Bronchiectasis,TCOF1,Treacle protein,Inverse variance weighted,2,0.58 [0.23-1.43],0.23596880122831
Chapter X Diseases of the respiratory system,Bronchiectasis,IL18,Interleukin-18,Inverse variance weighted,42,0.96 [0.83-1.11],0.579613214301405
Chapter X Diseases of the respiratory system,Bronchiectasis,PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,32,1.09 [0.94-1.27],0.261384277635248
